frame,time_epoch,src_ip,lat,lon,altitude_ft,flight_level,aircraft_id,aircraft_address,adsb_version
265,1763110269.434149487,172.16.13.2,-5.39450168609619,-76.4671182632446,39400,370,DWI3761,0x0c4354,DO-260B
266,1763110269.489494923,172.16.3.2,-3.30300092697144,-83.0693221092224,,340,AMX029,0xa540e2,DO-260B
268,1763110269.505659807,172.16.1.2,-17.798216342926,-75.539288520813,34900,330,AAL907,0xaa57df,DO-260B
270,1763110269.506199260,172.16.11.2,-7.64335155487061,-79.1681671142578,37325,350.25,AAL1307,0xa515ad,DO-260B
271,1763110269.545875896,172.16.11.2,-10.1183009147644,-77.8679180145264,30675,288,TAI428,0xad4ebc,DO-260B
272,1763110269.553704282,172.16.11.2,-7.29687452316284,-79.8948097229004,,390,AAL933,0xac1076,DO-260B
273,1763110269.553739935,172.16.13.2,-2.15061664581299,-70.3829669952393,47425,450,PSSFR,0xe49bba,DO-260B
274,1763110269.576264803,172.16.13.2,-2.15061664581299,-70.3829669952393,47425,450,PSSFR,0xe49bba,DO-260B
275,1763110269.596276399,172.16.11.2,-7.4857234954834,-79.1882514953613,38250,360,LAN572,0xe8022a,DO-260B
277,1763110269.596700178,10.30.212.17,-14.4950437545776,-77.3584270477295,33925,320,LAE2835,0xa7459d,DO-260B
278,1763110269.611086049,10.30.212.17,-14.4950437545776,-77.3584270477295,33925,320,LAE2835,0xa7459d,DO-260B
279,1763110269.740586897,10.30.212.17,-11.0575890541077,-76.9415473937988,27925,262.25,LPE2231,0xe8041b,DO-260B
284,1763110269.740620317,172.16.7.2,-5.39340734481812,-76.4667320251465,39400,370,DWI3761,0x0c4354,DO-260B
285,1763110269.742183725,172.16.7.2,-5.39340734481812,-76.4667320251465,39400,370,DWI3761,0x0c4354,DO-260B
